approxkl,clipfrac,explained_variance,ep_len_mean,policy_entropy,fps,true_reward,ep_reward_mean,serial_timesteps,n_updates,time_elapsed,policy_loss,total_timesteps,value_loss
0.0036011045,0.036748,0.9621147327125072,32.32,4.7055283,248154,0.0035550909,0.603510065888986,36000,144,47.221307039260864,-0.003592763,3600000,0.037623074
0.0026130197,0.021816,0.9631404243409634,30.25,4.697131,236240,0.0038747662,0.6690543189561322,36250,145,47.54988646507263,-0.0033804066,3625000,0.03526006
0.0041784113,0.044588,0.9619421847164631,29.28,4.689925,234966,0.0033119677,0.7189837429718636,36500,146,47.877833127975464,-0.0034734905,3650000,0.036735747
0.0034829732,0.036739998,0.9639334864914417,27.77,4.6830397,238689,0.002713061,0.6064814269398631,36750,147,48.21458673477173,-0.0035384763,3675000,0.037676927
0.0032786645,0.030380001,0.9596162736415863,29.79,4.677539,237290,0.003363089,0.5871817429398652,37000,148,48.53799510002136,-0.0033312433,3700000,0.039698035
0.0041413214,0.042964,0.964238528162241,31.02,4.6688185,228038,0.0038745133,0.7274934849439887,37250,149,48.86401104927063,-0.003651028,3725000,0.036645442
0.004448561,0.050048,0.9652416370809078,29.71,4.6586432,234857,0.0024008835,0.8867148952917523,37500,150,49.1952338218689,-0.0037197694,3750000,0.032292858
0.0032183614,0.028996,0.9642314091324806,31.11,4.648421,234921,0.0037129032,0.8857727492016556,37750,151,49.52014183998108,-0.0031869349,3775000,0.033110447
0.0037191932,0.036895998,0.9666389003396034,28.21,4.6391797,193422,0.0023358397,0.7933880392370338,38000,152,49.85790300369263,-0.0030374601,3800000,0.034665566
0.0036418855,0.036116,0.964296892285347,30.49,4.631774,234655,0.0020212592,0.9515624765062239,38250,153,50.20652723312378,-0.0028753728,3825000,0.039678343
0.004082714,0.042896003,0.9653011299669743,33.61,4.62701,234574,0.0029827158,0.6575841440477006,38500,154,50.53223943710327,-0.00355624,3850000,0.033524394
0.0035579111,0.037456,0.9661940038204193,31.2,4.620552,220861,0.0010679532,0.862732991515586,38750,155,50.86274862289429,-0.003423566,3875000,0.03581395
0.0035554715,0.035307996,0.9648890048265457,27.69,4.616598,245120,-0.0009536528,0.7068584326484233,39000,156,51.19433808326721,-0.003327496,3900000,0.03471795
0.0037735042,0.037623998,0.9653250388801098,31.68,4.612469,237379,0.0071415217,0.9440823738017207,39250,157,51.51234793663025,-0.0031016334,3925000,0.03635382
0.0034891225,0.033624,0.9693900737911463,28.66,4.606608,237077,0.0053112917,0.4703293386761652,39500,158,51.84318137168884,-0.0034092248,3950000,0.029729271
0.0036619175,0.0358,0.9688044525682926,31.07,4.6020765,238004,0.0036839605,0.6406265901821961,39750,159,52.16663360595703,-0.003571074,3975000,0.03261616
0.0041698916,0.043736,0.9665597565472126,30.01,4.598251,228984,0.0055097216,0.8660318714398091,40000,160,52.484713077545166,-0.0036979397,4000000,0.03415749
0.0035348297,0.034932,0.9671859852969646,29.88,4.5930953,225466,0.0074236584,0.6476505373480177,40250,161,52.81922388076782,-0.0031644641,4025000,0.03173525
0.0040507517,0.042688,0.9655094817280769,30.04,4.5856752,234515,-0.0005854476,0.7359823776543272,40500,162,53.14686107635498,-0.003188209,4050000,0.034603246
0.0033647153,0.033148002,0.9681830406188965,28.64,4.5780883,232689,0.009081017,0.7761293887447391,40750,163,53.47584319114685,-0.0036820485,4075000,0.029440444
0.0032864753,0.030695999,0.9661241583526134,31.78,4.5712323,232134,0.004490983,0.9870491161266,41000,164,53.7912802696228,-0.0033515934,4100000,0.036533486
0.0038352746,0.039707996,0.9703466948121786,28.44,4.5632753,237343,0.005115688,0.7528709970967611,41250,165,54.110069036483765,-0.0038134023,4125000,0.03106401
0.0033622514,0.033328,0.9697506241500378,31.22,4.5583224,230989,0.007123187,1.0118518275643282,41500,166,54.42927670478821,-0.0037242186,4150000,0.029773757
