value_loss,serial_timesteps,time_elapsed,total_timesteps,ep_len_mean,clipfrac,n_updates,fps,approxkl,true_reward,explained_variance,policy_entropy,policy_loss,ep_reward_mean
0.124319494,39250,722.5277013778687,3925000,64.66,0.157128,157,6701,0.012007013,0.13226986,0.9765872582793236,4.018301,-0.0030457317,8.263135723629967
0.11760454,39500,726.5018029212952,3950000,60.6,0.098524,158,6585,0.007951812,0.13164744,0.9786645118147135,4.006265,-0.006132447,7.635124026425183
0.12231835,39750,730.5468742847443,3975000,61.71,0.11777599,159,6736,0.009379275,0.13058706,0.9766053687781096,3.9920433,-0.004663754,7.86000218950212
0.16081375,40000,734.5166082382202,4000000,66.6,0.11313601,160,6918,0.009997515,0.13078068,0.9707814119756222,3.9803748,-0.0053386437,8.536882027946412
0.120863736,40250,738.3741929531097,4025000,60.68,0.103208005,161,6812,0.009065643,0.13113739,0.9773678369820118,3.9716156,-0.0068493,7.59350665663369
0.14693208,40500,742.2870092391968,4050000,62.25,0.106887996,162,6602,0.008653233,0.13190871,0.970362052321434,3.9647648,-0.0059595327,7.919385901018977
0.14652602,40750,746.3166179656982,4075000,57.77,0.14161599,163,6631,0.011076088,0.13266307,0.9715432450175285,3.9565773,-0.0039657415,7.290376302413643
0.11023829,41000,750.3323938846588,4100000,74.93,0.108012,164,6992,0.008706328,0.13493286,0.9793720543384552,3.9454434,-0.006593886,10.023922004960477
0.10840545,41250,754.1577005386353,4125000,66.42,0.095832005,165,7001,0.007874001,0.13534579,0.9792099073529243,3.9330316,-0.007091465,8.668693717233836
0.124870814,41500,757.9802434444427,4150000,62.15,0.10182401,166,6470,0.008379353,0.13401131,0.9761993288993835,3.9243565,-0.0069414144,7.806567679978907
0.15610144,41750,762.078774690628,4175000,68.36,0.105900005,167,6961,0.008531437,0.1333892,0.9700626470148563,3.9145942,-0.0065240376,8.772335031144321
0.13220604,42000,765.9077596664429,4200000,70.68,0.138344,168,6866,0.010979095,0.1353898,0.9744887128472328,3.899327,-0.0034887597,9.342683807574213
0.13520317,42250,769.7865459918976,4225000,59.84,0.121216,169,6717,0.009267454,0.13443086,0.9750686474144459,3.8892837,-0.0070514544,7.707797471135855
0.11594548,42500,773.7880911827087,4250000,65.42,0.106068,170,6752,0.008226837,0.1352947,0.9782960750162601,3.8806007,-0.0059685186,8.46492628596723
0.12612058,42750,777.7294714450836,4275000,63.32,0.1092,171,6761,0.008988803,0.13524921,0.9767978899180889,3.8683326,-0.0053558815,7.98910942427814
0.10098241,43000,781.6800038814545,4300000,72.26,0.10306001,172,6840,0.007931518,0.13583453,0.9805537257343531,3.8566105,-0.0052534854,9.54899600174278
