serial_timesteps,true_reward,total_timesteps,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,approxkl,value_loss,clipfrac,n_updates,policy_loss,fps,ep_len_mean
32750,-0.07764588,3275000,121.84346055984497,4.613073,-1.824514333641382,0.9092202335596085,0.029811885,0.23985782,0.267908,131,0.011551447,60453,31.64
33000,-0.08118576,3300000,122.63703775405884,4.5941415,-1.6926880440259993,0.9280864968895912,0.023098795,0.20996234,0.233672,132,0.0034083514,87222,33.11
33250,-0.08120129,3325000,123.36305928230286,4.5666766,-2.2645142729649526,0.9161911085247993,0.021584569,0.21788359,0.21231201,133,0.0058361413,60047,31.41
33500,-0.084374554,3350000,124.17366480827332,4.540227,-1.8936931511580042,0.9039983302354813,0.021408906,0.22713241,0.219484,134,0.0016604436,63045,31.03
33750,-0.07933096,3375000,124.96712708473206,4.508595,-1.8772313101007603,0.9119312390685081,0.01338651,0.2172077,0.14472002,135,-0.00017116922,65220,31.88
34000,-0.07610558,3400000,125.73673248291016,4.477992,-1.3256143688199518,0.9112536832690239,0.019925315,0.21593142,0.197732,136,0.0046382723,56524,34.85
34250,-0.08100106,3425000,126.58844590187073,4.455758,-1.7897312801031513,0.9231443926692009,0.019949945,0.21927404,0.19921201,137,0.007997606,60769,31.51
34500,-0.080593646,3450000,127.41658520698547,4.4464593,-1.7852174466195356,0.909576028585434,0.01605703,0.24826483,0.13322,138,0.0071195527,62102,33.05
34750,-0.082793504,3475000,128.18416380882263,4.4395075,-1.8918236945632816,0.8916927874088287,0.011074951,0.31181985,0.11340801,139,0.002896178,73067,33.43
35000,-0.07626927,3500000,128.8507046699524,4.4264865,-1.7158468335325596,0.8974995315074921,0.015390905,0.24231355,0.12168,140,0.00587006,65048,34.03
35250,-0.079133116,3525000,129.646990776062,4.405689,-1.8935643295648332,0.8450002819299698,0.010979508,0.37696868,0.09545599,141,0.0067281723,60225,34.52
35500,-0.079936124,3550000,130.52399444580078,4.3962564,-1.9501730333386513,0.8682406544685364,0.01424641,0.3495895,0.10927999,142,0.007877987,62714,34.29
35750,-0.071122795,3575000,131.3776433467865,4.389574,-1.8874485653634474,0.9103147238492966,0.008171132,0.22951546,0.08456401,143,0.0010621222,34597,33.27
36000,-0.07086827,3600000,132.7240972518921,4.3682885,-2.1819110456754425,0.8965157717466354,0.007441914,0.22855933,0.076575994,144,0.0014043476,29634,32.49
36250,-0.07400557,3625000,133.98666405677795,4.3495016,-1.942828233825203,0.8787003383040428,0.0120577,0.29649633,0.099924,145,0.008267415,61824,33.17
36500,-0.07661547,3650000,134.7899980545044,4.3381033,-1.61731015413774,0.91195198148489,0.009885434,0.22281,0.095716,146,0.004532751,52996,33.27
36750,-0.07066821,3675000,135.66755199432373,4.3330574,-1.5890150765337239,0.8990644887089729,0.0060752747,0.24839005,0.069908,147,-0.0021802827,49700,30.36
37000,-0.071379945,3700000,136.58678197860718,4.3296285,-1.685921392934106,0.9108944535255432,0.0132767875,0.20692508,0.100884005,148,0.008939686,70496,35.63
37250,-0.07466535,3725000,137.34728956222534,4.3216414,-2.166381629237003,0.9223053231835365,0.008868756,0.21169606,0.10104799,149,0.0006044019,53722,33.8
37500,-0.07186571,3750000,138.25097727775574,4.30453,-2.2052858784241836,0.9256346672773361,0.009432782,0.18104574,0.11466001,150,-0.0012954073,44756,30.56
37750,-0.07103843,3775000,139.22465705871582,4.279857,-1.0155816990977473,0.9399397410452366,0.013000749,0.14682662,0.133392,151,0.00339365,49331,30.14
38000,-0.06902769,3800000,140.12446689605713,4.2610903,-1.8743967638086179,0.9445944875478745,0.015266418,0.12511869,0.137392,152,0.0064445315,67939,34.74
38250,-0.073695555,3825000,140.92084550857544,4.2398214,-1.6557864734042231,0.9454835467040539,0.015053798,0.12826991,0.147108,153,0.0055392245,66018,29.83
38500,-0.061864268,3850000,141.73963499069214,4.2171154,-1.0060901558370825,0.9280887469649315,0.009183823,0.14603995,0.117823996,154,-0.0024550904,53309,31.38
38750,-0.07040712,3875000,142.60222911834717,4.1967287,-1.982184014649356,0.9383288659155369,0.012995303,0.14795305,0.157584,155,-0.00044830283,55673,33.12
39000,-0.06289079,3900000,143.4379107952118,4.1747823,-1.6163655089429811,0.95080691203475,0.013665393,0.09427599,0.161804,156,0.0020447995,61875,31.92
39250,-0.062809564,3925000,144.27028441429138,4.1551905,-1.7894930113728333,0.9484842494130135,0.009883656,0.09471314,0.116752006,157,-0.0010913194,62777,34.02
39500,-0.061180785,3950000,145.06773924827576,4.135052,-1.322912504043561,0.9520796500146389,0.011447996,0.09519566,0.12180799,158,0.00038368272,75077,32.79
39750,-0.06297491,3975000,145.84465408325195,4.119509,-1.3875891921875154,0.9538557529449463,0.023228701,0.090683326,0.21415198,159,0.0051440694,62182,32.08
40000,-0.06433389,4000000,146.65656661987305,4.106387,-1.3982666661098484,0.9400259144604206,0.009403793,0.116011515,0.118343994,160,-0.0038816216,53933,31.03
40250,-0.06722091,4025000,147.54667377471924,4.095912,-1.7737999155612487,0.9529956579208374,0.013617995,0.11409129,0.154352,161,9.1998474e-05,63802,37.65
40500,-0.06162027,4050000,148.29878401756287,4.095936,-1.2575104735043714,0.9412123486399651,0.026806593,0.104488984,0.21852,162,0.008785119,87114,32.01
40750,-0.062078275,4075000,148.9825029373169,4.104655,-1.593964244636627,0.9590657316148281,0.021654883,0.07899581,0.216692,163,0.003613927,62816,34.03
41000,-0.061201416,4100000,149.82019567489624,4.1216035,-1.3501366444285667,0.9353918135166168,0.01569416,0.12498088,0.15624002,164,0.0013436698,49320,33.82
41250,-0.055385917,4125000,150.83611297607422,4.129685,-1.1998046752803566,0.9550541937351227,0.016604705,0.08240545,0.18432799,165,-0.00014764103,46050,29.85
41500,-0.06391222,4150000,151.96409678459167,4.1199102,-1.8147612002321694,0.9358435273170471,0.011382165,0.12657318,0.129852,166,-0.0029775593,35702,34.14
